id,school,state,year,applied,admitted
210000,Aberdeen High School,Maryland,2013-14,52,41
210000,Aberdeen High School,Maryland,2014-15,44,33
210000,Aberdeen High School,Maryland,2015-16,38,22
210000,Aberdeen High School,Maryland,2016-17,40,25
210000,Aberdeen High School,Maryland,2017-18,56,37
210000,Aberdeen High School,Maryland,2018-19,51,35
210000,Aberdeen High School,Maryland,2019-20,59,37
210000,Aberdeen High School,Maryland,2020-21,52,38
210000,Aberdeen High School,Maryland,2021-22,65,44
210000,Aberdeen High School,Maryland,2022-23,67,34
210643,Academy Health Science At Pgcc,Maryland,2013-14,NA,NA
210643,Academy Health Science At Pgcc,Maryland,2014-15,NA,NA
210643,Academy Health Science At Pgcc,Maryland,2015-16,NA,NA
210643,Academy Health Science At Pgcc,Maryland,2016-17,55,31
210643,Academy Health Science At Pgcc,Maryland,2017-18,72,40
210643,Academy Health Science At Pgcc,Maryland,2018-19,80,43
210643,Academy Health Science At Pgcc,Maryland,2019-20,47,22
210643,Academy Health Science At Pgcc,Maryland,2020-21,70,38
210643,Academy Health Science At Pgcc,Maryland,2021-22,102,80
210643,Academy Health Science At Pgcc,Maryland,2022-23,109,80
210678,Academy Of The Holy Cross,Maryland,2013-14,47,31
210678,Academy Of The Holy Cross,Maryland,2014-15,76,40
210678,Academy Of The Holy Cross,Maryland,2015-16,57,30
210678,Academy Of The Holy Cross,Maryland,2016-17,57,26
210678,Academy Of The Holy Cross,Maryland,2017-18,60,30
210678,Academy Of The Holy Cross,Maryland,2018-19,58,31
210678,Academy Of The Holy Cross,Maryland,2019-20,79,40
210678,Academy Of The Holy Cross,Maryland,2020-21,58,24
210678,Academy Of The Holy Cross,Maryland,2021-22,54,30
210678,Academy Of The Holy Cross,Maryland,2022-23,71,43
210677,Albert Einstein High School,Maryland,2013-14,63,35
210677,Albert Einstein High School,Maryland,2014-15,74,37
210677,Albert Einstein High School,Maryland,2015-16,90,34
210677,Albert Einstein High School,Maryland,2016-17,93,40
210677,Albert Einstein High School,Maryland,2017-18,97,29
210677,Albert Einstein High School,Maryland,2018-19,107,42
210677,Albert Einstein High School,Maryland,2019-20,99,42
210677,Albert Einstein High School,Maryland,2020-21,93,41
210677,Albert Einstein High School,Maryland,2021-22,143,86
210677,Albert Einstein High School,Maryland,2022-23,137,73
210389,Al-Huda School,Maryland,2013-14,NA,NA
210389,Al-Huda School,Maryland,2014-15,NA,NA
210389,Al-Huda School,Maryland,2015-16,NA,NA
210389,Al-Huda School,Maryland,2016-17,NA,NA
210389,Al-Huda School,Maryland,2017-18,11,<10
210389,Al-Huda School,Maryland,2018-19,13,<10
210389,Al-Huda School,Maryland,2019-20,15,<10
210389,Al-Huda School,Maryland,2020-21,11,<10
210389,Al-Huda School,Maryland,2021-22,16,10
210389,Al-Huda School,Maryland,2022-23,11,<10
210425,Allegany High School,Maryland,2013-14,14,<10
210425,Allegany High School,Maryland,2014-15,19,12
210425,Allegany High School,Maryland,2015-16,11,<10
210425,Allegany High School,Maryland,2016-17,19,10
210425,Allegany High School,Maryland,2017-18,13,<10
210425,Allegany High School,Maryland,2018-19,25,15
