school,lat,lon,city,county,state,zip
Aberdeen High School,39.516652,-76.170698,Aberdeen,Harford County,MD,21001
Academy Health Science At Pgcc,38.885703,-76.827536,Largo,Prince George's County,MD,20774
Academy Of The Holy Cross,39.0323893,-77.09921393,Kensington,Montgomery County,MD,20895
Albert Einstein High School,39.03974495,-77.06585362,Kensington,Montgomery County,MD,20895
Al-Huda School,39.01498635,-76.91125006,College Park,Prince George's County,MD,20740
Allegany High School,39.655434,-78.79535,Cumberland,Allegany County,MD,21502
Annapolis Area Christian Sch,39.1063849,-76.67908827,Severn,Anne Arundel County,MD,21144
Annapolis Senior High School,38.97455195,-76.56548674,Annapolis,Anne Arundel County,MD,21401
Archbishop Curley High School,39.312823,-76.563958,Baltimore,Baltimore City County,MD,21213
Archbishop Spalding Hs,39.124747,-76.646468,Severn,Anne Arundel County,MD,21144
Arundel Senior High School,39.071342,-76.68134,Gambrills,Anne Arundel County,MD,21054
Atholton High School,39.1879774,-76.88092102,Columbia,Howard County,MD,21044
Avalon School,39.0487,-77.067,Mount Airy,Carroll County,MD,21771
Baltimore City College,39.325691,-76.597175,Baltimore,Baltimore City County,MD,21218
Baltimore Lutheran School,39.40548,-76.569961,Towson,Baltimore County,MD,21286
Baltimore Polytechnic Inst,39.3467672,-76.6441673,Baltimore,Baltimore City County,MD,21209
Baltimore School For The Arts,39.297778,-76.6175,Baltimore,Baltimore City County,MD,21201
Barbara Ingram School For Arts,39.6417857,-77.72098584,Hagerstown,Washington County,MD,21740
Bard Hs Early Clg Baltimore,39.3178219,-76.6643135,Baltimore,Baltimore City County,MD,21216
Bel Air High School,39.52953035,-76.34688705,Bel Air,Harford County,MD,21014
Beth Tfiloh Dahan Community Hs,39.386529,-76.707335,Baltimore,Baltimore County,MD,21208
Bethesda Chevy Chase Hs,38.986472,-77.088947,Bethesda,Montgomery County,MD,20814
Bishop Mcnamara High School,38.8522475,-76.8885013,Forestville,Prince George's County,MD,20747
Bladensburg High School,38.94266255,-76.9179536,Bladensburg,Prince George's County,MD,20710
Bohemia Manor High School,39.5112244,-75.8307712,Chesapeake City,Cecil County,MD,21915
Boonsboro High School,39.51597,-77.651885,Boonsboro,Washington County,MD,21713
Bowie High School,38.978,-76.7435,Bowie,Prince George's County,MD,20715
