original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,confidence_city_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Aberdeen High School 251 Paradise Rd,39.516652,-76.170698,"Aberdeen High School, 251 Paradise Road, Aberdeen, MD 21001, United States of America",Aberdeen High School,251,Paradise Road,,21001,,Aberdeen,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Academy Health Science At Pgcc 301 Largo Rd,38.885703,-76.827536,"301 Largo Road, Upper Marlboro, MD 20774, United States of America",,301,Largo Road,,20774,,Upper Marlboro,Prince George's County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Academy Of The Holy Cross 4920 Strathmore Ave,39.032389300000006,-77.09921393429983,"Academy of the Holy Cross, 4920 Strathmore Avenue, Kensington, MD 20895, United States of America",Academy of the Holy Cross,4920,Strathmore Avenue,,20895,,Kensington,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Albert Einstein High School 11135 Newport Mill Rd,39.03974495,-77.06585362266958,"Albert Einstein High School, 11135 Newport Mill Road, North Kensington, MD 20895, United States of America",Albert Einstein High School,11135,Newport Mill Road,,20895,College View,North Kensington,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Al-Huda School 5301 Edgewood Rd,39.01498635,-76.91125006314351,"Al Huda School, Edgewood Road, College Park, MD 20740, United States of America",Al Huda School,,Edgewood Road,Edgewood,20740,,College Park,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Allegany High School 616 Sedgwick St,39.655434,-78.79535,"Allegany High School, Cumberland, MD, United States of America",,,Allegany High School,,,,Cumberland,Allegany County,,Maryland,MD,United States,us,0.25004699999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Annapolis Area Christian School 109 Burns Crossing Rd,39.1063849,-76.67908827127013,"Annapolis Area Christian School, 109 Burns Crossing Road, Severn, MD 21144, United States of America",Annapolis Area Christian School,109,Burns Crossing Road,,21144,,Severn,Anne Arundel County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Annapolis Senior High School 2700 Riva Rd,38.97455195,-76.5654867379369,"Annapolis Senior High School, 2700 Riva Road, Annapolis, MD 21401, United States of America",Annapolis Senior High School,2700,Riva Road,,21401,Cape Saint John,Annapolis,Anne Arundel County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Archbishop Curley High School 3701 Sinclair Ln,39.312823,-76.563958,"Archbishop Curley High School, Baltimore, MD, United States of America",,,Archbishop Curley High School,,,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Archbishop Spalding High School 8080 New Cut Rd,39.124747,-76.646468,"Archbishop Spalding High School, Severn, MD, United States of America",Archbishop Spalding High School,,,,,,Severn,Anne Arundel County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
